	x		sin(x)*cos(c)		sin'(x)
	      0.00		      0.00		      0.01
	      0.01		      0.00		      0.03
	      0.02		      0.00		      0.05
	      0.03		      0.00		      0.07
	      0.04		      0.00		      0.09
	      0.05		      0.00		      0.11
	      0.06		      0.00		      0.13
	      0.07		      0.00		      0.15
	      0.08		      0.01		      0.17
	      0.09		      0.01		      0.19
	      0.10		      0.01		      0.20
	      0.11		      0.01		      0.22
	      0.12		      0.01		      0.24
	      0.13		      0.02		      0.26
	      0.14		      0.02		      0.27
	      0.15		      0.02		      0.29
	      0.16		      0.02		      0.31
	      0.17		      0.03		      0.32
	      0.18		      0.03		      0.34
	      0.19		      0.03		      0.35
	      0.20		      0.04		      0.37
	      0.21		      0.04		      0.38
	      0.22		      0.05		      0.39
	      0.23		      0.05		      0.40
	      0.24		      0.05		      0.42
	      0.25		      0.06		      0.43
	      0.26		      0.06		      0.44
	      0.27		      0.07		      0.45
	      0.28		      0.07		      0.45
	      0.29		      0.08		      0.46
	      0.30		      0.08		      0.47
	      0.31		      0.08		      0.48
	      0.32		      0.09		      0.48
	      0.33		      0.09		      0.49
	      0.34		      0.10		      0.49
	      0.35		      0.10		      0.49
	      0.36		      0.11		      0.50
	      0.37		      0.11		      0.50
	      0.38		      0.12		      0.50
	      0.39		      0.12		      0.50
	      0.40		      0.13		      0.50
	      0.41		      0.13		      0.50
	      0.42		      0.14		      0.50
	      0.43		      0.14		      0.49
	      0.44		      0.15		      0.49
	      0.45		      0.15		      0.48
	      0.46		      0.16		      0.48
	      0.47		      0.16		      0.47
	      0.48		      0.17		      0.47
	      0.49		      0.17		      0.46
	      0.50		      0.18		      0.45
	      0.51		      0.18		      0.44
	      0.52		      0.19		      0.43
	      0.53		      0.19		      0.42
	      0.54		      0.19		      0.41
	      0.55		      0.20		      0.40
	      0.56		      0.20		      0.39
	      0.57		      0.21		      0.37
	      0.58		      0.21		      0.36
	      0.59		      0.21		      0.35
	      0.60		      0.22		      0.33
	      0.61		      0.22		      0.31
	      0.62		      0.22		      0.30
	      0.63		      0.23		      0.28
	      0.64		      0.23		      0.27
	      0.65		      0.23		      0.25
	      0.66		      0.23		      0.23
	      0.67		      0.24		      0.21
	      0.68		      0.24		      0.20
